188		A2MV2H042RJ8TY		24		1		1		0,1		s2_c01_v02_e13		106.335		Flatten into a disk on your pan with your hands====Take 1/4 of pizza dough and flatten
189		A3CC8XGHB7HL85		24		1		1		0,1		s2_c01_v02_e13		106.335		Flatten into a disk on your pan with your hands====Take 1/4 of pizza dough and flatten
190		A1KB3HD0R4QRVZ		25		0		0		0,1		s2_c01_v02_e14		71.04		Season puree.====If the puree is watery let it stand in a cloth-lined colander over a bowl
191		AI9WYG457WDW2		25		1		1		1,0		s2_c01_v02_e14		71.04		Season puree.====If the puree is watery let it stand in a cloth-lined colander over a bowl
192		AWTJ1X4WZQ7H6		25		0		0		0,1		s2_c01_v02_e14		71.04		Season puree.====If the puree is watery let it stand in a cloth-lined colander over a bowl
193		A1KB3HD0R4QRVZ		26		1		1		0,1		s2_c01_v02_e16		181.34		Lay a few Basil leaves in the center of the pizza====Lay a few Basil leaves in center of pie
194		A2R2L2GA314OEI		26		0		0		1,0		s2_c01_v02_e16		181.34		Lay a few Basil leaves in the center of the pizza====Lay a few Basil leaves in center of pie
195		A2MV2H042RJ8TY		26		1		1		0,1		s2_c01_v02_e16		181.34		Lay a few Basil leaves in the center of the pizza====Lay a few Basil leaves in center of pie
196		A1LOT6YM1SG3NZ		27		0		0		1,0		s2_c01_v02_e17		43.19		about 3 1/2 cups====Pizza dough made with 10 cups of flour
197		A1KB3HD0R4QRVZ		27		0		0		0,1		s2_c01_v02_e17		43.19		about 3 1/2 cups====Pizza dough made with 10 cups of flour
198		A111JI6APXR6QV		27		1		1		1,0		s2_c01_v02_e17		43.19		about 3 1/2 cups====Pizza dough made with 10 cups of flour
199		A2MV2H042RJ8TY		28		noop		noop		0,1		s2_c01_v02_e18		45.51		31/2 cups tomato puree====1 1/4 lbs of
